total_reward,mean_waiting_time,final_step_waiting_time,throughput,mean_queue_length,n_switch_votes,n_forced_switches,n_steps
-1537.265430510044,380.8777751288532,165.0,2,36.52222309758266,5744,0,720
-1889.996771633625,379.3013869969097,526.0,0,36.34722312922693,5777,0,720
-1819.0330773591995,367.23194304834277,460.0,2,35.89305635614114,5742,0,720
