env_step,episode,epsilon,episode_reward,total_waiting_time,throughput,loss
7800,10,0.9025,-1264.6093910187483,470.0,3094,2.3188605308532715
8000,11,0.9,-340.9099941253662,236.0,190,1.5872713327407837
8200,11,0.8975,-592.8099007606506,226.0,1318,1.378305196762085
8400,11,0.895,-847.4496731758118,214.0,2435,1.948378562927246
8600,11,0.8925,-1240.539577960968,340.0,3541,2.3123748302459717
8800,12,0.89,-614.4698027819395,403.0,646,2.2297842502593994
9000,12,0.8875,-553.8296679705381,75.0,1762,1.7615995407104492
9200,12,0.885,-1008.5995120257139,261.0,2856,2.3866395950317383
9400,13,0.8825,-230.85999442636967,181.0,29,2.318216323852539
9600,13,0.88,-560.3997683674097,240.0,1118,1.6676586866378784
9800,13,0.8775,-749.4595275074244,156.0,2221,2.187682628631592
10000,13,0.875,-1133.6593775898218,263.0,3313,1.8301163911819458
10200,14,0.8725,-294.129908695817,136.0,416,1.465654969215393
10400,14,0.87,-638.9097153097391,219.0,1542,1.880989909172058
10600,14,0.8674999999999999,-851.8394972234964,170.0,2665,1.354155421257019
10800,14,0.865,-1318.4593140035868,374.0,3769,1.4276593923568726
11000,15,0.8625,-458.1098569110036,196.0,873,1.7766627073287964
11200,15,0.86,-673.0095484927297,143.0,1989,1.4724316596984863
11400,15,0.8575,-987.6793921664357,191.0,3108,2.36989426612854
11600,16,0.855,-287.3499296158552,184.0,194,1.4232704639434814
11800,16,0.8525,-588.4097445458174,221.0,1324,1.3171133995056152
12000,16,0.85,-859.9095871895552,233.0,2443,1.6305692195892334
12200,16,0.8474999999999999,-1014.7093174904585,128.0,3535,1.3806122541427612
12400,17,0.845,-420.09990760684013,208.0,644,1.320531964302063
12600,17,0.8425,-819.3196584880352,341.0,1758,1.3019545078277588
12800,17,0.84,-1061.1394207179546,316.0,2859,1.4650267362594604
13000,18,0.8375,-228.34001622349024,178.0,23,1.2114109992980957
13200,18,0.835,-416.33979592472315,105.0,1122,1.253673791885376
13400,18,0.8325,-862.289607860148,282.0,2224,1.0694608688354492
13600,18,0.83,-986.0093494430184,138.0,3306,1.059217929840088
13800,19,0.8275,-445.91989371180534,291.0,411,1.0926274061203003
14000,19,0.825,-548.6296419799328,122.0,1535,1.0990902185440063
14200,19,0.8225,-888.9294681251049,201.0,2664,1.1354749202728271
14400,19,0.82,-1095.8092078864574,138.0,3773,0.8447986841201782
14600,20,0.8175,-502.1898132264614,239.0,868,0.8755083084106445
14800,20,0.815,-735.7496744096279,210.0,1990,0.6416302919387817
15000,20,0.8125,-1054.9994355142117,266.0,3105,0.6834140419960022
15200,21,0.81,-317.5400164872408,218.0,189,0.5123563408851624
15400,21,0.8075,-541.9797356873751,174.0,1315,2.001286029815674
15600,21,0.8049999999999999,-965.2995250970125,323.0,2448,0.8314214944839478
15800,21,0.8025,-1210.6592558175325,304.0,3537,1.283019781112671
16000,22,0.8,-497.88995519280434,298.0,644,0.7759839296340942
16200,22,0.7975,-731.0896717607975,266.0,1764,0.5514944791793823
16400,22,0.795,-956.3893858492374,224.0,2859,0.5023751854896545
16600,23,0.7925,-216.98998336866498,171.0,25,0.5507123470306396
16800,23,0.79,-562.2097518928349,244.0,1107,0.7462118864059448
17000,23,0.7875,-788.7795737273991,197.0,2219,0.3604115843772888
17200,23,0.7849999999999999,-1034.1194403655827,170.0,3312,0.5335394144058228
17400,24,0.7825,-317.21992985904217,159.0,416,0.9733259677886963
17600,24,0.78,-759.0497495383024,323.0,1536,0.4340500831604004
17800,24,0.7775,-868.5395518988371,160.0,2666,0.4734547436237335
18000,24,0.775,-1108.6893583983183,127.0,3768,0.6111659407615662
18200,25,0.7725,-445.30984462052584,179.0,878,0.4382375478744507
18400,25,0.77,-617.7797418907285,80.0,1993,0.886663019657135
18600,25,0.7675,-1022.2796112373471,213.0,3096,0.403190940618515
18800,26,0.765,-220.0200016796589,117.0,196,0.2459166795015335
19000,26,0.7625,-596.5097582638264,221.0,1321,0.4757089614868164
19200,26,0.76,-788.3395183384418,144.0,2441,0.2538011968135834
19400,26,0.7575000000000001,-1063.1292970478535,152.0,3531,0.5719148516654968
19600,27,0.755,-345.98983067274094,135.0,652,0.355197936296463
19800,27,0.7525,-628.4197029471397,139.0,1761,0.20598360896110535
20000,27,0.75,-1048.9094113707542,290.0,2862,0.30676648020744324
20200,28,0.7475,-127.00999762117863,77.0,28,0.2474145144224167
20400,28,0.745,-456.6397917419672,136.0,1118,0.46481212973594666
20600,28,0.7424999999999999,-640.0895335823298,58.0,2223,0.5380098223686218
20800,28,0.74,-990.979282155633,137.0,3314,0.07747165858745575
21000,29,0.7375,-380.489933565259,228.0,413,0.646942138671875
21200,29,0.735,-629.129696443677,213.0,1539,0.17236332595348358
21400,29,0.7324999999999999,-891.199406221509,209.0,2656,0.8288887143135071
21600,29,0.73,-1173.9391923695803,223.0,3773,0.2312469482421875
21800,30,0.7275,-474.049748390913,218.0,876,0.3062869906425476
22000,30,0.725,-988.7695107161999,468.0,1987,0.14877906441688538
22200,30,0.7224999999999999,-890.7192730605602,107.0,3095,0.3137464225292206
22400,31,0.72,-217.61993646621704,114.0,196,0.182924285531044
22600,31,0.7175,-467.7695689201355,106.0,1322,0.12263906002044678
22800,31,0.7150000000000001,-773.4494042396545,143.0,2443,0.33867666125297546
23000,31,0.7125,-1055.9691615104675,159.0,3535,0.09542061388492584
23200,32,0.71,-337.3499327003956,126.0,650,0.7036119103431702
23400,32,0.7075,-636.3097796738148,160.0,1764,0.4836648404598236
23600,32,0.7050000000000001,-929.0196152031422,190.0,2864,0.5532913208007812
23800,33,0.7025,-213.1199875473976,165.0,29,0.2685602903366089
24000,33,0.7,-518.1398201584816,205.0,1117,0.1122639998793602
24200,33,0.6975,-661.5395441651344,76.0,2213,0.11376438289880753
24400,33,0.695,-942.1293087601662,88.0,3321,0.07390554249286652
24600,34,0.6925,-389.9698842316866,231.0,412,0.12978075444698334
24800,34,0.69,-625.4196570664644,193.0,1546,0.10250534862279892
25000,34,0.6875,-882.3794406205416,179.0,2664,0.2981690466403961
25200,34,0.685,-1087.7092996388674,111.0,3767,0.2580755650997162
25400,35,0.6825,-624.9098556041718,352.0,881,0.26124805212020874
25600,35,0.6799999999999999,-726.699636220932,178.0,1992,0.08519596606492996
25800,35,0.6775,-959.4795045852661,137.0,3107,0.5238258838653564
26000,36,0.675,-332.5798988342285,228.0,195,0.5047789216041565
26200,36,0.6725,-712.1497044563293,340.0,1328,0.3113860785961151
26400,36,0.67,-821.8794379234314,174.0,2442,0.22445160150527954
26600,36,0.6675,-1078.979196548462,156.0,3532,0.17406708002090454
26800,37,0.665,-432.71983943879604,222.0,650,0.2036990523338318
27000,37,0.6625,-871.3695949167013,386.0,1765,1.3572827577590942
27200,37,0.6599999999999999,-984.6293319314718,225.0,2863,0.3400881588459015
27400,38,0.6575,-132.37999068200588,86.0,30,0.25289463996887207
27600,38,0.655,-503.669779881835,192.0,1118,0.15073347091674805
27800,38,0.6525,-742.9796172231436,162.0,2220,0.13324441015720367
28000,38,0.6499999999999999,-943.1993771642447,96.0,3309,0.3989205062389374
28200,39,0.6475,-311.0298983901739,149.0,413,0.10647367686033249
28400,39,0.645,-563.6396615356207,132.0,1542,0.20075646042823792
28600,39,0.6425000000000001,-879.0893118232489,177.0,2661,0.06307590007781982
28800,39,0.6399999999999999,-1151.4890355914831,186.0,3771,0.19610682129859924
29000,40,0.6375,-341.54971327632666,84.0,878,0.5644983053207397
29200,40,0.635,-741.6594616398215,207.0,1991,0.05832964926958084
29400,40,0.6325000000000001,-979.0192228779197,174.0,3094,0.051716383546590805
29600,41,0.63,-371.91000105440617,270.0,205,0.07020790129899979
29800,41,0.6275,-459.52970863878727,89.0,1323,0.07893151789903641
30000,41,0.625,-873.6794812828302,239.0,2446,0.2730758786201477
30200,41,0.6225,-1064.859373345971,157.0,3536,0.3218061625957489
30400,42,0.62,-361.95979729294777,157.0,642,0.05367409437894821
